Name,URL,Line1,Line2,Region,Case,Slope,LiveStream,Threshold
11.ts,11.ts,"((73, 293), (72, 294))","((103, 323), (102, 324))","[[60, 271], [161, 230], [199, 302], [100, 353], [60, 270]]",3,-1.0,yes,700
11.ts,11.ts,"((69, 319), (153, 273))","((99, 349), (183, 303))","[[50, 263], [154, 223], [211, 316], [95, 384], [50, 270]]",3,-0.5476190476190477,yes,700
11.ts,11.ts,"((22, 226), (130, 179))","((52, 256), (160, 209))","[[9, 98], [191, 90], [286, 228], [62, 367], [9, 101]]",3,-0.4351851851851852,yes,700
11.ts,11.ts,"((68, 294), (196, 236))","((38, 264), (166, 206))","[[7, 109], [192, 90], [284, 232], [43, 370], [7, 111]]",4,-0.453125,yes,700
11.ts,11.ts,"((54, 298), (204, 231))","((24, 268), (174, 201))","[[5, 96], [193, 90], [285, 230], [20, 375], [3, 98]]",4,-0.44666666666666666,yes,700
11.ts,11.ts,"((61, 296), (203, 230))","((31, 266), (173, 200))","[[6, 102], [193, 94], [283, 230], [31, 368], [4, 105]]",4,-0.4647887323943662,yes,700
11.ts,11.ts,"((58, 298), (202, 232))","((28, 268), (172, 202))","[[4, 102], [193, 85], [282, 236], [19, 373], [2, 102]]",4,-0.4583333333333333,yes,700
11.ts,11.ts,"((45, 301), (213, 226))","((15, 271), (183, 196))","[[4, 102], [4, 102], [193, 91], [280, 235], [10, 374], [4, 106]]",4,-0.44642857142857145,yes,700
11.ts,11.ts,"((47, 303), (212, 227))","((17, 273), (182, 197))","[[5, 90], [195, 84], [284, 231], [11, 373], [4, 94]]",4,-0.46060606060606063,yes,700
11.ts,11.ts,"((47, 301), (201, 232))","((17, 271), (171, 202))","[[4, 97], [193, 84], [277, 233], [13, 372], [3, 99]]",4,-0.44805194805194803,yes,700
